Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,-6.605413806351E-16,-3.17888250122454E-15,0.00534836374604153,0,0,0,0.97649535402911,0.0442557968886024,-1.60830380859908E-16,6.90467039096541E-18,0.0442557968886033,2.9961485964723E-17,0.0884887523527264,0,0,0,0,0,0,package://3RRR/meshes/Base.STL,1,0,1,1,0,0,0,0,0,0,package://3RRR/meshes/Base.STL,,Base-1,Origin_Global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Proximal_Link_1,0.125760356902669,-0.0328599019188576,-0.00566725132133209,0,0,0,0.124327488543993,0.000103878846049437,0.000333488962144945,-1.04327876635405E-05,0.00129306029105497,2.72598025122248E-06,0.0013933185659197,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_1.STL,0,1,1,1,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_1.STL,,Proximal Link-1,Origin_Proximal_Joint_1,Axis_Proximal_Joint_1,Proximal_Joint_1,continuous,-0.259807620025699,-0.149999987823395,0.03,0,0,0,Base,0,0,1,,,,,,,,,,,,
Distal_Link_1,-0.0284508779172917,0.102193979676703,-0.00575678198789127,0,0,0,0.109618995082061,0.000804655386010645,0.000219736459397529,2.36021885468486E-06,7.65489682577738E-05,-8.47777556704603E-06,0.000877843779154364,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_1.STL,1,1,0,1,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_1.STL,,Distal Link-1,Origin_Distal_Joint_1,Axis_Distal_Joint_1,Distal_Joint_1,continuous,0.290255371031986,-0.0758407594233355,0.00999999999999951,0,0,0,Proximal_Link_1,0,0,1,,,,,,,,,,,,
Platform_1,0.0866025100946127,0.0499999825156258,-0.00621550806782306,0,0,0,0.204748162200477,0.000566208682172371,-1.23947503241835E-17,-2.7619049018082E-19,0.000566208682172315,4.71492949155226E-18,0.00112463244849747,0,0,0,0,0,0,package://3RRR/meshes/Platform_1.STL,1,0,0,1,0,0,0,0,0,0,package://3RRR/meshes/Platform_1.STL,,Platform-1,Origin_Platform_Joint_1,Axis_Platform_Joint_1,Platform_Joint_1,continuous,-0.0670502383712165,0.24084074724673,0.0100000000000002,0,0,0,Distal_Link_1,0,0,-1,,,,,,,,,,,,
Pen_1,4.85722573273506E-17,-1.38777878078145E-17,0.0282692307692308,0,0,0,0.00340339204138894,5.62818337732057E-07,-3.62721401838554E-24,-8.1668323214017E-22,5.62818337732057E-07,1.63847144627279E-22,4.12334035783661E-08,0,0,0,0,0,0,package://3RRR/meshes/Pen_1.STL,0,0,1,1,0,0,0,0,0,0,package://3RRR/meshes/Pen_1.STL,,Pen-1,Origin_Pen,Axis_Pen,Pen_Joint_1,fixed,0.0866025100946131,0.0499999825156236,-0.0500000000000001,0,0,0,Platform_1,0,0,0,,,,,,,,,,,,
Proximal_Link_2,0.0418779305079323,0.123051524422847,-0.00566725132133179,0,0,0,0.124327488543994,0.00123866971628232,-0.000415856724787782,-3.47409512336009E-06,0.000158269420822236,-1.02080698389299E-05,0.00139331856591985,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_2.STL,0,1,1,1,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_2.STL,,Proximal Link-2,Origin_Proximal_Joint_2,Axis_Proximal_Joint_2,Proximal_Joint_2,continuous,0.259807610563355,-0.149999991221948,0.0299999999999999,0,0,0,Base,0,0,1,,,,,,,,,,,,
Distal_Link_2,-0.0932911716913216,-0.0504957346801424,-0.00575678198789124,0,0,0,0.109618995082061,0.000208078089939355,-0.000356021627652015,7.73921926211201E-06,0.000673126264329077,4.18900904990346E-06,0.000877843779154377,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_2.STL,1,1,0,1,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_2.STL,,Distal Link-2,Origin_Distal_Joint_2,Axis_Distal_Joint_2,Distal_Joint_2,continuous,0.0966544049109075,0.284003385664662,0.0100000000000001,0,0,0,Proximal_Link_2,0,0,1,,,,,,,,,,,,
Platform_2,-0.0866025100946149,0.0499999825156237,-0.00621550806782279,0,0,0,0.204748162200477,0.000566208682172371,-1.2403409707052E-17,-2.76974763643588E-19,0.000566208682172315,4.72154693645268E-18,0.00112463244849747,0,0,0,0,0,0,package://3RRR/meshes/Platform_2.STL,1,0,0,1,0,0,0,0,0,0,package://3RRR/meshes/Platform_2.STL,,Platform-1,Origin_Platform_Joint_2,Axis_Platform_Joint_2,Platform_Joint_2,continuous,-0.219859482649965,-0.119003394442713,0.00999999999999951,0,0,0,Distal_Link_2,0,0,-1,,,,,,,,,,,,
Pen_2,4.85722573273506E-17,-1.38777878078145E-17,0.0282692307692308,0,0,0,0.00340339204138894,5.62818337732057E-07,-3.62721401838554E-24,-8.1668323214017E-22,5.62818337732057E-07,1.63847144627279E-22,4.12334035783661E-08,0,0,0,0,0,0,package://3RRR/meshes/Pen_2.STL,0,0,1,1,0,0,0,0,0,0,package://3RRR/meshes/Pen_2.STL,,Pen-1,Origin_Pen,Axis_Pen,Pen_Joint_2,fixed,-0.0866025100946145,0.0499999825156215,-0.0499999999999999,0,0,0,Platform_2,0,0,0,,,,,,,,,,,,
Proximal_Link_3,-0.0759200738592423,-0.10550624440741,-0.00566725132133162,0,0,0,0.124327488543993,0.000915055567953722,-0.000646408168282344,6.29815820413009E-06,0.000481883569150672,8.75255562669496E-06,0.00139331856591969,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_3.STL,0,1,1,1,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_3.STL,,Proximal Link-3,Origin_Proximal_Joint_3,Axis_Proximal_Joint_3,Proximal_Joint_3,continuous,0,0.29999997277284,0.0299999999999998,0,0,0,Base,0,0,1,,,,,,,,,,,,
Distal_Link_3,0.0955674413545898,0.0460426551076721,-0.00575678198789149,0,0,0,0.109618995082061,0.000175588693399224,-0.000332545792215708,-7.92805331472561E-06,0.000705615660869294,-3.81959189522254E-06,0.000877843779154462,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_3.STL,1,1,0,1,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_3.STL,,Distal Link-3,Origin_Distal_Joint_3,Axis_Distal_Joint_3,Distal_Joint_3,continuous,-0.175223889501665,-0.243508838528245,0.0100000000000004,0,0,0,Proximal_Link_3,0,0,1,,,,,,,,,,,,
Platform_3,-4.78783679369599E-16,-0.0999999650312424,-0.00621550806782298,0,0,0,0.204748162200477,0.00056620868217237,-1.24093500608381E-17,-2.74753632241765E-19,0.000566208682172315,4.71823821400247E-18,0.00112463244849747,0,0,0,0,0,0,package://3RRR/meshes/Platform_3.STL,1,0,0,1,0,0,0,0,0,0,package://3RRR/meshes/Platform_3.STL,,Platform-1,Origin_Platform_Joint_3,Axis_Platform_Joint_3,Platform_Joint_3,continuous,0.225223971716447,0.108508813302272,0.00999999999999947,0,0,0,Distal_Link_3,0,0,-1,,,,,,,,,,,,
Pen_3,4.85722573273506E-17,-1.38777878078145E-17,0.0282692307692308,0,0,0,0.00340339204138894,5.62818337732057E-07,-3.62721401838554E-24,-8.1668323214017E-22,5.62818337732057E-07,1.63847144627279E-22,4.12334035783661E-08,0,0,0,0,0,0,package://3RRR/meshes/Pen_3.STL,0,0,1,1,0,0,0,0,0,0,package://3RRR/meshes/Pen_3.STL,,Pen-1,Origin_Pen,Axis_Pen,Pen_Joint_3,fixed,0,-0.0999999650312446,-0.05,0,0,0,Platform_3,0,0,0,,,,,,,,,,,,
