Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,1.30944519744195E-15,5.81783851824835E-15,0.00532243055878623,0,0,0,1.0550351703688,0.0560577579053085,2.86455954849572E-16,-1.44937094873679E-17,0.0560577579053065,-5.93974438555002E-17,0.112091347745523,0,0,0,0,0,0,package://3RRR/meshes/Base.STL,1,0,1,1,0,0,0,0,0,0,package://3RRR/meshes/Base.STL,,Base-1,Origin_Global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Proximal_Link_1,-0.00179041663502744,0.129970128912467,-0.00566725132133191,0,0,0,0.124327488543994,0.00137993884117722,1.87788611691986E-05,1.48528812081442E-07,1.70002959272776E-05,-1.0782020495E-05,0.00139331856591979,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_1.STL,0,1,1,1,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_1.STL,,Proximal Link-1,Origin_Proximal_Joint_1,Axis_Proximal_Joint_1,Proximal_Joint_1,continuous,-0.281458256229922,-0.162500000000012,0.03,0,0,0,Base,0,0,1,,,,,,,,,,,,
Distal_Link_1,0.102451738345676,-0.00956217414797422,-0.00575678198789135,0,0,0,0.109618995082061,2.22454560017044E-05,7.61347776316968E-05,-8.76456540526188E-06,0.000858958898266752,7.91015084613435E-07,0.000877843779154401,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_1.STL,1,1,0,1,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_1.STL,,Distal Link-1,Origin_Distal_Joint_1,Axis_Distal_Joint_1,Distal_Joint_1,continuous,-0.000932984996129982,0.299998549228158,0.00999999999999995,0,0,0,Proximal_Link_1,0,0,1,,,,,,,,,,,,
Platform_1,0.0866025100946147,-0.0499999825156188,-0.00621550806782328,0,0,0,0.204748162200487,0.000566208682172368,-6.71836347596869E-18,1.18263590874859E-18,0.000566208682172429,6.57112278612125E-18,0.00112463244849758,0,0,0,0,0,0,package://3RRR/meshes/Platform_1.STL,1,0,0,1,0,0,0,0,0,0,package://3RRR/meshes/Platform_1.STL,,Platform-1,Origin_Platform_Joint_1,Axis_Platform_Joint_1,Platform_Joint_1,continuous,0.245788708401739,-0.0224985492281455,0.0100000000000001,0,0,0,Distal_Link_1,0,0,-1,,,,,,,,,,,,
Pen_1,-4.16333634234434E-17,1.38777878078145E-17,0.0282692307692308,0,0,0,0.00340339204138894,5.62818337732057E-07,8.61646471409283E-26,5.39945238248978E-22,5.62818337732057E-07,-3.39054688192683E-22,4.1233403578366E-08,0,0,0,0,0,0,package://3RRR/meshes/Pen_1.STL,0,0,1,1,0,0,0,0,0,0,package://3RRR/meshes/Pen_1.STL,,Pen-1,Origin_Pen,Axis_Pen,Pen_Joint_1,fixed,0.0866025100946133,-0.0499999825156222,-0.0499999999999999,0,0,0,Platform_1,0,0,0,,,,,,,,,,,,
Proximal_Link_2,-0.119398017342977,-0.0513765569886546,-0.00566725132133192,0,0,0,0.124327488543994,0.000229752422246981,-0.000495032576623135,9.90498348466287E-06,0.00116718671485763,4.26208035250168E-06,0.0013933185659199,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_2.STL,0,1,1,1,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_2.STL,,Proximal Link-2,Origin_Proximal_Joint_2,Axis_Proximal_Joint_2,Proximal_Joint_2,continuous,0.281458245997827,-0.162500003935774,0.03,0,0,0,Base,0,0,1,,,,,,,,,,,,
Distal_Link_2,0.0323227353991109,0.0656970509812092,-0.00575678198789136,0,0,0,0.109618995082061,0.00083935119265791,-0.00014770942116425,-1.55280414659836E-06,4.18531616105426E-05,-8.66210776251977E-06,0.000877843779154398,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_2.STL,1,1,0,1,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_2.STL,,Distal Link-2,Origin_Distal_Joint_2,Axis_Distal_Joint_2,Distal_Joint_2,continuous,-0.289175787686616,-0.0798583575428643,0.00999999999999994,0,0,0,Proximal_Link_2,0,0,1,,,,,,,,,,,,
Platform_2,1.59594559789866E-16,0.0999999650312484,-0.00621550806782347,0,0,0,0.204748162200487,0.000566208682172368,-6.72449882831248E-18,1.18398303967365E-18,0.000566208682172429,6.56450534122083E-18,0.00112463244849758,0,0,0,0,0,0,package://3RRR/meshes/Platform_2.STL,1,0,0,1,0,0,0,0,0,0,package://3RRR/meshes/Platform_2.STL,,Platform-1,Origin_Platform_Joint_2,Axis_Platform_Joint_2,Platform_Joint_2,continuous,0.0577175189590905,0.207358413931771,0.0100000000000002,0,0,0,Distal_Link_2,0,0,-1,,,,,,,,,,,,
Pen_2,-4.16333634234434E-17,1.38777878078145E-17,0.0282692307692308,0,0,0,0.00340339204138894,5.62818337732057E-07,8.61646471409283E-26,5.39945238248978E-22,5.62818337732057E-07,-3.39054688192683E-22,4.1233403578366E-08,0,0,0,0,0,0,package://3RRR/meshes/Pen_2.STL,0,0,1,1,0,0,0,0,0,0,package://3RRR/meshes/Pen_2.STL,,Pen-1,Origin_Pen,Axis_Pen,Pen_Joint_2,fixed,0,0.099999965031245,-0.0500000000000001,0,0,0,Platform_2,0,0,0,,,,,,,,,,,,
Proximal_Link_3,0.129687423362086,-0.00875294869106913,-0.00566725132133166,0,0,0,0.124327488543995,2.29243640146027E-05,9.16061776548244E-05,-1.0758567187218E-05,0.00137401477309026,7.26125912481137E-07,0.00139331856592015,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_3.STL,0,1,1,1,0,0,0,0,0,0,package://3RRR/meshes/Proximal_Link_3.STL,,Proximal Link-3,Origin_Proximal_Joint_3,Axis_Proximal_Joint_3,Proximal_Joint_3,continuous,0,0.324999980868794,0.0299999999999999,0,0,0,Base,0,0,1,,,,,,,,,,,,
Distal_Link_3,-0.0683244836601158,-0.0717816272826453,-0.00575678198789144,0,0,0,0.10961899508206,0.000505554230346846,-0.000420238124478496,5.72774489764728E-06,0.000375650123921724,6.68103659581881E-06,0.000877843779154515,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_3.STL,1,1,0,1,0,0,0,0,0,0,package://3RRR/meshes/Distal_Link_3.STL,,Distal Link-3,Origin_Distal_Joint_3,Axis_Distal_Joint_3,Distal_Joint_3,continuous,0.298599347923383,-0.0289557149727769,0.0100000000000005,0,0,0,Proximal_Link_3,0,0,1,,,,,,,,,,,,
Platform_3,-0.0866025100946116,-0.0499999825156202,-0.00621550806782345,0,0,0,0.204748162200487,0.000566208682172368,-6.76552698854634E-18,1.18230289517479E-18,0.000566208682172429,6.56119661877062E-18,0.00112463244849758,0,0,0,0,0,0,package://3RRR/meshes/Platform_3.STL,1,0,0,1,0,0,0,0,0,0,package://3RRR/meshes/Platform_3.STL,,Platform-1,Origin_Platform_Joint_3,Axis_Platform_Joint_3,Platform_Joint_3,continuous,-0.161996851988848,-0.181044265896015,0.00999999999999979,0,0,0,Distal_Link_3,0,0,-1,,,,,,,,,,,,
Pen_3,-4.16333634234434E-17,1.38777878078145E-17,0.0282692307692308,0,0,0,0.00340339204138894,5.62818337732057E-07,8.61646471409283E-26,5.39945238248978E-22,5.62818337732057E-07,-3.39054688192683E-22,4.1233403578366E-08,0,0,0,0,0,0,package://3RRR/meshes/Pen_3.STL,0,0,1,1,0,0,0,0,0,0,package://3RRR/meshes/Pen_3.STL,,Pen-1,Origin_Pen,Axis_Pen,Pen_Joint_3,fixed,-0.086602510094613,-0.0499999825156237,-0.05,0,0,0,Platform_3,0,0,0,,,,,,,,,,,,
